symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
IBM,2019-02-06 00:00:00+00:00,136.32,136.65,135.17,135.22,4879670,107.1131476515,107.3724444438,106.2095376178,106.2488250106,5104134,0.0,1.0
IBM,2019-02-07 00:00:00+00:00,133.19,134.47,132.12,133.55,4379439,105.8873809971,106.9049937884,105.0367203043,106.1735845946,4580893,1.57,1.0
IBM,2019-02-08 00:00:00+00:00,133.71,133.71,132.19,132.34,3250074,106.3007861935,106.3007861935,105.0923710039,105.2116225028,3399577,0.0,1.0
IBM,2019-02-11 00:00:00+00:00,133.99,135.15,133.91,134.29,3095069,106.5233889916,107.4456005838,106.4597881922,106.7618919896,3237442,0.0,1.0
IBM,2019-02-12 00:00:00+00:00,136.05,136.2,134.86,135.15,3317161,108.1611095777,108.2803610767,107.2150476857,107.4456005838,3469750,0.0,1.0
IBM,2019-02-13 00:00:00+00:00,137.52,137.92,136.41,136.92,4253042,109.3297742677,109.647778265,108.4473131752,108.8527682718,4448681,0.0,1.0
IBM,2019-02-14 00:00:00+00:00,136.48,137.6,136.21,137.17,2789839,108.5029638748,109.3933750672,108.2883111766,109.0515207701,2918171,0.0,1.0
IBM,2019-02-15 00:00:00+00:00,138.03,138.19,137.39,137.58,3844062,109.7352293643,109.8624309632,109.2264229686,109.3774748673,4020888,0.0,1.0
IBM,2019-02-19 00:00:00+00:00,138.7,138.7,137.36,137.81,3385675,110.2678860597,110.2678860597,109.2025726688,109.5603271658,3541416,0.0,1.0
IBM,2019-02-20 00:00:00+00:00,138.0,139.24,137.22,138.76,3801979,109.7113790645,110.6971914561,109.0912712698,110.3155866593,3976870,0.0,1.0
IBM,2019-02-21 00:00:00+00:00,137.84,138.35,137.35,137.82,2937467,109.5841774655,109.9896325621,109.1946225689,109.5682772657,3072590,0.0,1.0
IBM,2019-02-22 00:00:00+00:00,139.25,139.38,138.43,138.73,3113698,110.705141556,110.8084928551,110.0532333615,110.2917363595,3256928,0.0,1.0
IBM,2019-02-25 00:00:00+00:00,139.46,140.47,139.32,140.0,3194161,110.8720936546,111.6750537477,110.7607922555,111.3013990509,3341092,0.0,1.0
IBM,2019-02-26 00:00:00+00:00,139.72,140.49,139.47,139.67,3060381,111.0787962528,111.6909539476,110.8800437545,111.0390457531,3201158,0.0,1.0
IBM,2019-02-27 00:00:00+00:00,139.17,139.57,138.4,139.25,2530968,110.6415407565,110.9595447538,110.0293830618,110.705141556,2647392,0.0,1.0
IBM,2019-02-28 00:00:00+00:00,138.13,139.06,137.72,138.77,3457788,109.8147303636,110.5540896573,109.4887762664,110.3235367592,3616846,0.0,1.0
IBM,2019-03-01 00:00:00+00:00,139.2,140.04,138.64,139.31,3030044,110.6653910563,111.3331994506,110.2201854601,110.7528421556,3169426,0.0,1.0
IBM,2019-03-04 00:00:00+00:00,138.43,140.08,137.17,139.99,3407217,110.0532333615,111.3649998504,109.0515207701,111.293448951,3563948,0.0,1.0
IBM,2019-03-05 00:00:00+00:00,137.88,138.74,137.56,138.37,4250650,109.6159778653,110.2996864594,109.3615746674,110.005532762,4446179,0.0,1.0
IBM,2019-03-06 00:00:00+00:00,136.98,138.39,136.72,138.12,2768256,108.9004688714,110.0214329618,108.6937662731,109.8067802636,2895595,0.0,1.0
IBM,2019-03-07 00:00:00+00:00,135.36,136.89,134.63,136.61,4358802,107.6125526824,108.828917972,107.0321953873,108.6063151739,4559306,0.0,1.0
IBM,2019-03-08 00:00:00+00:00,135.09,135.24,133.58,134.21,3773722,107.3978999842,107.5171514832,106.1974348944,106.6982911902,3947313,0.0,1.0
IBM,2019-03-11 00:00:00+00:00,137.71,137.73,135.84,136.03,3939517,109.4808261664,109.4967263663,107.9941574791,108.1452093778,4120734,0.0,1.0
IBM,2019-03-12 00:00:00+00:00,138.28,139.7,137.86,138.52,3954653,109.9339818626,111.0628960529,109.6000776654,110.1247842609,4136567,0.0,1.0
IBM,2019-03-13 00:00:00+00:00,138.56,139.32,137.85,138.05,3173179,110.1565846607,110.7607922555,109.5921275655,109.7511295641,3319145,0.0,1.0
IBM,2019-03-14 00:00:00+00:00,138.79,138.94,138.06,138.51,2738790,110.3394369591,110.4586884581,109.7590796641,110.116834161,2864774,0.0,1.0
IBM,2019-03-15 00:00:00+00:00,139.43,140.33,139.23,139.37,7153687,110.8482433548,111.5637523487,110.6892413561,110.8005427552,7482756,0.0,1.0
IBM,2019-03-18 00:00:00+00:00,140.21,140.37,138.72,139.83,3268510,111.4683511495,111.5955527484,110.2837862596,111.1662473521,3418861,0.0,1.0
IBM,2019-03-19 00:00:00+00:00,140.49,141.7,140.0,140.96,3482336,111.6909539476,112.6529160394,111.3013990509,112.0646086444,3642523,0.0,1.0
IBM,2019-03-20 00:00:00+00:00,139.6,140.7,138.98,140.53,3649455,110.9833950536,111.8579060462,110.4904888578,111.7227543473,3817329,0.0,1.0
IBM,2019-03-21 00:00:00+00:00,141.44,142.12,138.88,139.1,3605420,112.4462134411,112.9868202365,110.4109878585,110.585890057,3771269,0.0,1.0
IBM,2019-03-22 00:00:00+00:00,139.45,141.44,138.9,140.97,3877616,110.8641435546,112.4462134411,110.4268880584,112.0725587443,4055986,0.0,1.0
IBM,2019-03-25 00:00:00+00:00,139.18,139.91,138.35,139.06,2839766,110.6494908565,111.2298481515,109.9896325621,110.5540896573,2970395,0.0,1.0
IBM,2019-03-26 00:00:00+00:00,140.22,141.02,139.42,139.93,2553708,111.4763012494,112.112309244,110.8402932548,111.2457483514,2671178,0.0,1.0
IBM,2019-03-27 00:00:00+00:00,139.24,140.49,138.4,140.41,3098233,110.6971914561,111.6909539476,110.0293830618,111.6273531481,3240751,0.0,1.0
IBM,2019-03-28 00:00:00+00:00,139.92,140.44,139.1,139.91,2663884,111.2377982514,111.6512034479,110.585890057,111.2298481515,2786422,0.0,1.0
IBM,2019-03-29 00:00:00+00:00,141.1,141.22,140.15,140.5,3101454,112.1759100434,112.2713112426,111.4206505499,111.6989040475,3244120,0.0,1.0
IBM,2019-04-01 00:00:00+00:00,143.3,143.41,141.51,141.51,3984250,113.9249320285,114.0123831278,112.5018641407,112.5018641407,4167525,0.0,1.0
IBM,2019-04-02 00:00:00+00:00,143.0,143.95,142.6,143.35,2404920,113.6864290306,114.4416885241,113.3684250333,113.9646825282,2515546,0.0,1.0
IBM,2019-04-03 00:00:00+00:00,143.63,144.22,143.01,143.65,2681645,114.1872853263,114.6563412223,113.6943791305,114.2031855262,2805000,0.0,1.0
IBM,2019-04-04 00:00:00+00:00,142.78,144.14,142.54,143.62,2771462,113.5115268321,114.5927404228,113.3207244337,114.1793352264,2898949,0.0,1.0
IBM,2019-04-05 00:00:00+00:00,143.28,143.5,142.46,143.29,2731985,113.9090318287,114.0839340272,113.2571236342,113.9169819286,2857656,0.0,1.0
IBM,2019-04-08 00:00:00+00:00,143.39,143.42,142.87,143.02,2118228,113.9964829279,114.0203332277,113.5830777314,113.7023292304,2215666,0.0,1.0
IBM,2019-04-09 00:00:00+00:00,142.11,142.95,141.84,142.66,3038460,112.9788701366,113.6466785309,112.7642174384,113.4161256329,3178229,0.0,1.0
IBM,2019-04-10 00:00:00+00:00,143.02,143.5,141.98,142.2,2678310,113.7023292304,114.0839340272,112.8755188375,113.050421036,2801512,0.0,1.0
IBM,2019-04-11 00:00:00+00:00,143.78,144.11,143.03,143.8,2941985,114.3065368253,114.568890123,113.7102793304,114.3224370251,3077316,0.0,1.0
IBM,2019-04-12 00:00:00+00:00,144.35,144.44,143.7,144.26,2898899,114.7596925214,114.8312434208,114.2429360258,114.688141622,3032248,0.0,1.0
IBM,2019-04-15 00:00:00+00:00,143.9,144.46,143.27,144.4,3603158,114.4019380245,114.8471436207,113.9010817287,114.7994430211,3768903,0.0,1.0
IBM,2019-04-16 00:00:00+00:00,145.14,145.39,144.02,144.4,6301671,115.3877504161,115.5865029144,114.4973392237,114.7994430211,6591547,0.0,1.0
IBM,2019-04-17 00:00:00+00:00,139.11,141.98,136.26,137.37,12525693,110.5938401569,112.8755188375,108.3280616763,109.2105227687,13101874,0.0,1.0
IBM,2019-04-18 00:00:00+00:00,140.33,140.49,138.7,139.0,4960015,111.5637523487,111.6909539476,110.2678860597,110.5063890577,5188175,0.0,1.0
IBM,2019-04-22 00:00:00+00:00,138.89,140.56,138.48,139.42,4494333,110.4189379584,111.7466046471,110.0929838612,110.8402932548,4701072,0.0,1.0
IBM,2019-04-23 00:00:00+00:00,140.44,140.92,138.94,139.15,4462240,111.6512034479,112.0328082447,110.4586884581,110.6256405567,4667503,0.0,1.0
IBM,2019-04-24 00:00:00+00:00,139.95,141.31,139.78,140.6,2774867,111.2616485512,112.342862142,111.1264968524,111.7784050468,2902510,0.0,1.0
IBM,2019-04-25 00:00:00+00:00,138.63,139.75,137.71,139.7,2910113,110.2122353602,111.1026465526,109.4808261664,111.0628960529,3043978,0.0,1.0
IBM,2019-04-26 00:00:00+00:00,139.44,139.89,138.81,139.34,2319834,110.8561934547,111.2139479516,110.355337159,110.7766924554,2426546,0.0,1.0
IBM,2019-04-29 00:00:00+00:00,139.05,139.63,138.81,139.15,2958333,110.5461395573,111.0072453534,110.355337159,110.6256405567,3094416,0.0,1.0
IBM,2019-04-30 00:00:00+00:00,140.27,140.44,138.68,139.11,4638828,111.5160517491,111.6512034479,110.2519858599,110.5938401569,4852214,0.0,1.0
IBM,2019-05-01 00:00:00+00:00,140.56,141.81,140.17,140.55,3053683,111.7466046471,112.7403671386,111.4365507498,111.7386545472,3194152,0.0,1.0
IBM,2019-05-02 00:00:00+00:00,139.59,141.28,139.41,140.5,3541352,110.9754449537,112.3190118422,110.8323431549,111.6989040475,3704254,0.0,1.0
IBM,2019-05-03 00:00:00+00:00,140.25,141.0,139.63,139.7,2580034,111.5001515492,112.0964090441,111.0072453534,111.0628960529,2698715,0.0,1.0
IBM,2019-05-06 00:00:00+00:00,140.38,140.69,137.9,138.3,2793655,111.6035028483,111.8499559462,109.6318780651,109.9498820624,2922163,0.0,1.0
IBM,2019-05-07 00:00:00+00:00,137.64,139.51,136.19,139.15,4726771,109.4251754669,110.9118441542,108.2724109767,110.6256405567,4944202,0.0,1.0
IBM,2019-05-08 00:00:00+00:00,138.0,138.7,137.13,137.77,3818909,109.7113790645,110.2678860597,109.0197203704,109.528526766,3994578,0.0,1.0
IBM,2019-05-09 00:00:00+00:00,135.34,135.58,133.03,134.89,4192942,108.8845686715,109.0776549467,107.026113273,108.5225319056,4385817,1.62,1.0
IBM,2019-05-10 00:00:00+00:00,135.32,135.75,132.42,134.88,3977686,108.8684781486,109.2144243916,106.5353523236,108.5144866441,4160659,0.0,1.0
IBM,2019-05-13 00:00:00+00:00,131.42,133.57,130.96,133.28,4958021,105.7308261771,107.4605573922,105.3607441497,107.2272448097,5186089,0.0,1.0
IBM,2019-05-14 00:00:00+00:00,133.31,134.32,131.68,131.82,3280374,107.2513805941,108.0639520021,105.9400029752,106.0526366357,3431271,0.0,1.0
IBM,2019-05-15 00:00:00+00:00,134.4,134.59,132.37,132.59,2551009,108.1283140938,108.2811740616,106.4951260163,106.6721217686,2668355,0.0,1.0
IBM,2019-05-16 00:00:00+00:00,135.88,136.11,134.64,134.74,3017472,109.3190127906,109.5040538043,108.3214003689,108.4018529836,3156275,0.0,1.0
IBM,2019-05-17 00:00:00+00:00,134.32,135.41,133.94,134.68,2619135,108.0639520021,108.9408855018,107.7582320664,108.3535814148,2739615,0.0,1.0
IBM,2019-05-20 00:00:00+00:00,135.12,135.43,132.93,133.53,3264649,108.7075729193,108.9569760247,106.9456606584,107.4283763463,3414822,0.0,1.0
IBM,2019-05-21 00:00:00+00:00,136.45,137.06,135.79,136.12,2503504,109.7775926942,110.2683536435,109.2466054375,109.5120990658,2618665,0.0,1.0
IBM,2019-05-22 00:00:00+00:00,136.35,136.75,135.71,136.0,1849821,109.6971400795,110.0189505381,109.1822433457,109.4155559282,1934912,0.0,1.0
IBM,2019-05-23 00:00:00+00:00,132.39,135.13,130.44,135.13,5343437,106.5112165392,108.7156181807,104.9423905535,108.7156181807,5589235,0.0,1.0
IBM,2019-05-24 00:00:00+00:00,132.28,134.25,131.59,133.53,2596121,106.4227186631,108.0076351718,105.867595622,107.4283763463,2715542,0.0,1.0
IBM,2019-05-28 00:00:00+00:00,130.46,132.64,130.27,132.13,4909121,104.9584810764,106.7123480759,104.8056211086,106.3020397411,5134940,0.0,1.0
IBM,2019-05-29 00:00:00+00:00,129.69,130.28,128.32,130.0,3678978,104.3389959436,104.8136663701,103.2367951229,104.588399049,3848210,0.0,1.0
IBM,2019-05-30 00:00:00+00:00,129.57,129.97,128.93,129.74,2741880,104.242452806,104.5642632646,103.7275560722,104.3792222509,2868006,0.0,1.0
IBM,2019-05-31 00:00:00+00:00,126.99,128.44,126.85,128.44,3539343,102.166775348,103.3333382604,102.0541416875,103.3333382604,3702152,0.0,1.0
IBM,2019-06-03 00:00:00+00:00,128.27,128.56,127.06,127.1,4267080,103.1965688155,103.429881398,102.2230921782,102.2552732241,4463365,0.0,1.0
IBM,2019-06-04 00:00:00+00:00,132.69,132.74,129.09,129.56,3913535,106.7525743832,106.7928006905,103.8562802557,104.2344075446,4093557,0.0,1.0
IBM,2019-06-05 00:00:00+00:00,131.49,133.61,130.47,133.38,3161584,105.7871430074,107.492738438,104.9665263379,107.3076974243,3307016,0.0,1.0
IBM,2019-06-06 00:00:00+00:00,132.22,132.65,130.9,132.19,2298248,106.3744470943,106.7203933373,105.3124725809,106.3503113099,2403967,0.0,1.0
IBM,2019-06-07 00:00:00+00:00,133.31,134.72,132.21,132.47,2553398,107.2513805941,108.3857624607,106.3664018329,106.575578631,2670854,0.0,1.0
IBM,2019-06-10 00:00:00+00:00,134.74,135.35,133.91,134.38,2911327,108.4018529836,108.892613933,107.734096282,108.1122235708,3045248,0.0,1.0
IBM,2019-06-11 00:00:00+00:00,135.95,136.46,135.05,135.32,3407345,109.3753296209,109.7856379556,108.651256089,108.8684781486,3564082,0.0,1.0
IBM,2019-06-12 00:00:00+00:00,134.87,135.94,134.41,135.56,2254741,108.5064413826,109.3672843594,108.1363593552,109.0615644237,2358459,0.0,1.0
IBM,2019-06-13 00:00:00+00:00,135.76,136.27,135.09,135.13,2955419,109.2224696531,109.6327779878,108.6834371349,108.7156181807,3091368,0.0,1.0
IBM,2019-06-14 00:00:00+00:00,135.15,135.88,134.43,135.44,2193367,108.7317087037,109.3190127906,108.1524498782,108.9650212862,2294261,0.0,1.0
IBM,2019-06-17 00:00:00+00:00,134.95,136.03,134.7,135.39,2194129,108.5708034744,109.4396917126,108.3696719377,108.9247949788,2295058,0.0,1.0
IBM,2019-06-18 00:00:00+00:00,136.38,137.19,135.2,135.2,2914698,109.7212758639,110.3729420426,108.771935011,108.771935011,3048774,0.0,1.0
IBM,2019-06-19 00:00:00+00:00,137.08,138.36,136.24,136.43,2382520,110.2844441665,111.314237634,109.6086422034,109.7615021712,2492115,0.0,1.0
IBM,2019-06-20 00:00:00+00:00,138.85,139.54,138.2,138.93,3071017,111.7084554458,112.2635784869,111.1855134506,111.7728175376,3212283,0.0,1.0
IBM,2019-06-21 00:00:00+00:00,139.2,139.54,138.39,138.44,5288759,111.9900395971,112.2635784869,111.3383734184,111.3785997258,5532041,0.0,1.0
